iteration,loss,params,train_time,n_trees
70,380.99072,"{'colsample_bytree': 0.9500000000000001, 'depth': 15, 'eval_metric': 'rmse', 'gamma': 0.8, 'min_child_weight': 900.0, 'objective': 'reg:linear', 'subsample': 1.0}",2210.0875074728974,236
71,380.2259,"{'colsample_bytree': 0.8500000000000001, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.0, 'min_child_weight': 350.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",1601.52960331348,291
72,466.11823,"{'colsample_bytree': 0.8500000000000001, 'depth': 1, 'eval_metric': 'rmse', 'gamma': 0.0, 'min_child_weight': 350.0, 'objective': 'reg:linear', 'subsample': 0.75}",695.9984310092987,1238
73,383.6462,"{'colsample_bytree': 0.8500000000000001, 'depth': 6, 'eval_metric': 'rmse', 'gamma': 0.05, 'min_child_weight': 300.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",1206.4525588788383,379
74,381.19034,"{'colsample_bytree': 0.75, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.1, 'min_child_weight': 500.0, 'objective': 'reg:linear', 'subsample': 0.9}",1480.2206510221004,242
75,395.86664,"{'colsample_bytree': 0.75, 'depth': 3, 'eval_metric': 'rmse', 'gamma': 0.6000000000000001, 'min_child_weight': 100.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",1105.1887849879859,803
76,378.75806,"{'colsample_bytree': 0.8500000000000001, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.65, 'min_child_weight': 250.0, 'objective': 'reg:linear', 'subsample': 0.8}",1809.230092869373,333
77,379.40363,"{'colsample_bytree': 0.8500000000000001, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.65, 'min_child_weight': 200.0, 'objective': 'reg:linear', 'subsample': 0.75}",1263.6532832060475,213
78,381.5523,"{'colsample_bytree': 0.7000000000000001, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.7000000000000001, 'min_child_weight': 150.0, 'objective': 'reg:linear', 'subsample': 0.65}",955.6520727867901,186
79,381.24396,"{'colsample_bytree': 0.7000000000000001, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.7000000000000001, 'min_child_weight': 500.0, 'objective': 'reg:linear', 'subsample': 0.8}",1048.3889140480605,213
80,384.52087,"{'colsample_bytree': 0.75, 'depth': 4, 'eval_metric': 'rmse', 'gamma': 0.65, 'min_child_weight': 450.0, 'objective': 'reg:linear', 'subsample': 0.9}",2082.9109180840605,1193
81,382.91937,"{'colsample_bytree': 0.9500000000000001, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.55, 'min_child_weight': 600.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",1934.4864034705097,324
82,381.3796,"{'colsample_bytree': 0.8500000000000001, 'depth': 9, 'eval_metric': 'rmse', 'gamma': 0.45, 'min_child_weight': 200.0, 'objective': 'reg:linear', 'subsample': 0.9500000000000001}",1571.1251000664488,321
83,467.2927,"{'colsample_bytree': 0.8, 'depth': 1, 'eval_metric': 'rmse', 'gamma': 0.7000000000000001, 'min_child_weight': 600.0, 'objective': 'reg:linear', 'subsample': 0.6000000000000001}",497.14577373181237,900
